review_id,product_name,product_group,gender,age_group,rating,review_text,created_at
r-000001,프로바이오틱스 크림,스킨케어,여성,25-29세,5,운동 후에 사용해봤는데 자극이 거의 없어요. 확실히 흡수가 부드럽게 돼요. 추천해요. 메이크업 전에 괜찮았어요.,2025-10-03 04:47:26
r-000002,히알루론 나이트크림,스킨케어,여성,50대 이상,1,향이 생각보다 강해요. 막상 써보니 유분감이 남아요. 별로였어요.,2025-08-15 10:00:13
r-000003,데일리 샴푸,헤어케어,남성,30대,5,외출 전에 쓰니 향이 은은해서 좋아요. 한동안 써보니 두피가 편안해졌어요. 만족스러워요. 건성/지성에 따라 느낌 다를 듯. 주말 외출용으로 딱.,2025-10-06 13:27:32
r-000004,시카 진정 토너,스킨케어,남성,10대,2,향이 생각보다 강해요. 전반적으로 트러블이 조금 올라왔어요. 취향 차이는 있을 수 있어요. 비추천합니다.,2025-07-17 17:46:00
r-000005,리페어 세럼,헤어케어,여성,50대 이상,4,출근 전에 주로 쓰고 드라이가 잘 돼요. 전체적으로 향이 은은해서 좋아요. 잘 쓰고 있어요. 건성/지성에 따라 느낌 다를 듯. 데일리로 무난해요.,2025-07-30 12:51:42
r-000006,두피 스케일러,헤어케어,여성,10대,5,출근 전에 주로 쓰고 거품이 풍성하고 헹굼이 깔끔해요. 한동안 써보니 모발이 차분해요. 또 살 것 같아요. 메이크업 전에 괜찮았어요.,2025-06-22 11:31:06
r-000007,롱웨어 파운데이션,메이크업,여성,50대 이상,2,얼룩처럼 묻어나요. 게다가 시간 지나면 무너져요. 아쉬웠어요.,2025-07-25 14:21:35
r-000008,데일리 샴푸,헤어케어,여성,20-24세,4,아침·저녁으로 써봤고 두피가 편안해졌어요. 그리고 거품이 풍성하고 헹굼이 깔끔해요. 계속 쓰게 돼요.,2025-08-03 03:25:02
r-000009,화이트 티 코롱,향수,여성,25-29세,5,외출 전에 쓰니 잔향이 은은하게 오래 남아요. 막상 써보니 무난하게 쓰기 좋아요. 가격 생각하면 괜찮아요.,2025-10-05 11:24:23
r-000010,볼륨 미스트,헤어케어,여성,30대,4,외출 전에 쓰니 드라이가 잘 돼요. 전체적으로 두피가 편안해졌어요. 또 살 것 같아요.,2025-04-24 09:11:30
r-000011,리페어 에센스,스킨케어,남성,25-29세,5,운동 후에 사용해봤는데 결이 정돈되는 느낌이에요. 한동안 써보니 자극이 거의 없어요. 만족스러워요.,2025-09-23 19:13:21
r-000012,가든 로즈 퍼퓸,향수,남성,20-24세,5,외출 전에 쓰니 과하지 않아서 데일리로 좋아요. 사용해보니 계절감이 잘 맞아요. 잘 쓰고 있어요.,2025-07-29 02:43:33
r-000013,콜라겐 앰플,스킨케어,남성,50대 이상,5,운동 후에 사용해봤는데 보습이 오래가요. 게다가 흡수가 부드럽게 돼요. 잘 쓰고 있어요. 선물용으로도 괜찮아 보여요.,2025-05-27 14:49:36
r-000014,플로럴 미스트,향수,남성,20-24세,5,운동 후에 사용해봤는데 계절감이 잘 맞아요. 한동안 써보니 무난하게 쓰기 좋아요. 추천해요.,2025-05-27 20:57:08
r-000015,쿨링 샴푸,헤어케어,여성,40대,5,샤워 후에 바로 바르고 향이 은은해서 좋아요. 그리고 모발이 차분해요. 잘 쓰고 있어요. 데일리로 무난해요.,2025-04-28 01:59:19
r-000016,코튼 바디워시,바디케어,남성,30대,5,운동 후에 사용해봤는데 향이 포근하게 남아요. 그리고 펌프가 편해요. 또 살 것 같아요.,2025-07-18 21:14:08
r-000017,두피 스케일러,헤어케어,남성,40대,3,향이 은은해서 좋아요. 그리고 두피가 간질거렸어요. 아침·저녁으로 써봤고. 무난한 편이에요.,2025-10-29 02:42:33
r-000018,헤어 오일,헤어케어,여성,25-29세,5,운동 후에 사용해봤는데 거품이 풍성하고 헹굼이 깔끔해요. 게다가 모발이 차분해요. 계속 쓰게 돼요. 여행 때 들고 가기 좋을 듯.,2025-08-07 11:34:54
